2017-07-07 22:18:58 | GET_CUR_LOCATION | SUCCESSFULL, timeout 10
2017-07-07 22:19:01 | GET_CUR_LOCATION | SUCCESSFULL, timeout 10
2017-07-07 22:19:03 | GET_CUR_LOCATION | SUCCESSFULL, timeout 10
2017-07-07 22:19:06 | GET_CUR_LOCATION | SUCCESSFULL, timeout 10
2017-07-07 22:19:08 | GET_CUR_LOCATION | SUCCESSFULL, timeout 10
2017-07-07 22:19:11 | GET_CUR_LOCATION | SUCCESSFULL, timeout 10
2017-07-07 22:31:34 | GET_CUR_LOCATION | SUCCESSFULL, timeout 10
2017-07-07 22:32:10 | GET_CUR_LOCATION | SUCCESSFULL, timeout 10
2017-07-07 22:32:41 | GET_CUR_LOCATION | SUCCESSFULL, timeout 10
2017-07-07 22:33:16 | GET_CUR_LOCATION | SUCCESSFULL, timeout 10
2017-07-07 22:33:48 | GET_CUR_LOCATION | SUCCESSFULL, timeout 10
2017-07-07 22:34:22 | GET_CUR_LOCATION | SUCCESSFULL, timeout 10
2017-07-07 22:34:54 | GET_CUR_LOCATION | SUCCESSFULL, timeout 10
2017-07-07 22:35:28 | GET_CUR_LOCATION | SUCCESSFULL, timeout 10
2017-07-07 22:36:00 | GET_CUR_LOCATION | SUCCESSFULL, timeout 10
2017-07-07 22:36:50 | GET_CUR_LOCATION | SUCCESSFULL, timeout 10
2017-07-07 22:37:03 | GET_CUR_LOCATION | SUCCESSFULL, timeout 10
2017-07-07 22:37:15 | GET_CUR_LOCATION | SUCCESSFULL, timeout 10
2017-07-07 22:37:27 | GET_CUR_LOCATION | SUCCESSFULL, timeout 10
2017-07-07 22:37:39 | GET_CUR_LOCATION | SUCCESSFULL, timeout 10
2017-07-07 22:37:55 | GET_CUR_LOCATION | SUCCESSFULL, timeout 10
2017-07-07 22:38:07 | GET_CUR_LOCATION | SUCCESSFULL, timeout 10
2017-07-07 22:38:19 | GET_CUR_LOCATION | SUCCESSFULL, timeout 10
2017-07-07 22:38:31 | GET_CUR_LOCATION | SUCCESSFULL, timeout 10
2017-07-07 22:38:44 | GET_CUR_LOCATION | SUCCESSFULL, timeout 10
2017-07-07 22:38:55 | GET_CUR_LOCATION | SUCCESSFULL, timeout 10
2017-07-07 22:39:10 | GET_CUR_LOCATION | SUCCESSFULL, timeout 10
2017-07-07 22:39:22 | GET_CUR_LOCATION | SUCCESSFULL, timeout 10
2017-07-07 22:39:34 | GET_CUR_LOCATION | SUCCESSFULL, timeout 10
2017-07-07 22:39:47 | GET_CUR_LOCATION | SUCCESSFULL, timeout 10
2017-07-07 22:39:59 | GET_CUR_LOCATION | SUCCESSFULL, timeout 10
